size;time
1;100
2;88
4;88
8;88
16;86
32;90
64;88
128;90
256;9292
512;90
1024;90
2048;90
4096;92
8192;90
16384;92
32768;0
65536;118
131072;202
262144;0
524288;0
1048576;694
1;38
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;0
16384;90
32768;146
65536;262
131072;0
262144;150
524288;228
1048576;428
1;90
2;88
4;88
8;88
16;88
32;88
64;88
128;90
256;90
512;0
1024;88
2048;90
4096;90
8192;90
16384;92
32768;92
65536;0
131072;202
262144;378
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;34
1024;38
2048;42
4096;48
8192;62
16384;0
32768;146
65536;264
131072;9698
262144;148
524288;270
1048576;0
1;90
2;88
4;0
8;86
16;88
32;88
64;88
128;88
256;90
512;0
1024;88
2048;90
4096;90
8192;92
16384;92
32768;94
65536;0
131072;204
262144;382
524288;0
1048576;0
1;34
2;34
4;9238
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;0
32768;148
65536;262
131072;0
262144;152
524288;258
1048576;0
1;90
2;88
4;0
8;86
16;86
32;88
64;88
128;86
256;88
512;0
1024;88
2048;90
4096;90
8192;92
16384;92
32768;92
65536;120
131072;204
262144;380
524288;0
1048576;9892
1;34
2;34
4;32
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;42
4096;48
8192;62
16384;88
32768;146
65536;262
131072;0
262144;140
524288;228
1048576;0
1;88
2;88
4;86
8;0
16;86
32;88
64;88
128;90
256;90
512;90
1024;0
2048;88
4096;92
8192;92
16384;92
32768;94
65536;9322
131072;202
262144;382
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;146
65536;262
131072;0
262144;152
524288;232
1048576;0
1;88
2;88
4;88
8;9292
16;88
32;90
64;90
128;88
256;90
512;90
1024;0
2048;90
4096;90
8192;92
16384;92
32768;92
65536;118
131072;204
262144;378
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;0
32;34
64;34
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;0
65536;262
131072;0
262144;138
524288;10228
1048576;0
1;90
2;88
4;88
8;90
16;0
32;88
64;88
128;88
256;90
512;90
1024;90
2048;0
4096;88
8192;90
16384;92
32768;92
65536;120
131072;0
262144;380
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;0
64;34
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;92
32768;0
65536;264
131072;9690
262144;170
524288;248
1048576;0
1;90
2;88
4;88
8;88
16;0
32;88
64;88
128;88
256;90
512;90
1024;90
2048;0
4096;88
8192;90
16384;90
32768;92
65536;120
131072;0
262144;380
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;90
32768;0
65536;262
131072;0
262144;140
524288;270
1048576;0
1;90
2;88
4;88
8;88
16;0
32;88
64;88
128;90
256;90
512;88
1024;88
2048;0
4096;88
8192;90
16384;92
32768;92
65536;118
131072;0
262144;380
524288;0
1048576;9892
1;34
2;34
4;34
8;34
16;34
32;0
64;34
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;0
65536;262
131072;0
262144;140
524288;244
1048576;0
1;90
2;88
4;88
8;86
16;88
32;0
64;88
128;88
256;90
512;90
1024;90
2048;90
4096;0
8192;90
16384;92
32768;94
65536;120
131072;9406
262144;380
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;0
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;146
65536;0
131072;488
262144;0
524288;268
1048576;0
1;88
2;88
4;88
8;88
16;86
32;0
64;88
128;88
256;88
512;90
1024;90
2048;88
4096;88
8192;90
16384;90
32768;92
65536;120
131072;0
262144;380
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;36
2048;42
4096;48
8192;62
16384;90
32768;150
65536;0
131072;494
262144;152
524288;268
1048576;9670
1;90
2;88
4;88
8;88
16;88
32;0
64;88
128;90
256;90
512;90
1024;90
2048;90
4096;0
8192;90
16384;92
32768;94
65536;120
131072;0
262144;380
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;0
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;90
32768;146
65536;0
131072;492
262144;9332
524288;280
1048576;0
1;90
2;88
4;88
8;88
16;88
32;0
64;88
128;88
256;90
512;88
1024;90
2048;90
4096;90
8192;92
16384;92
32768;92
65536;122
131072;0
262144;382
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;88
32768;146
65536;9460
131072;492
262144;160
524288;248
1048576;0
1;90
2;88
4;88
8;88
16;88
32;0
64;88
128;88
256;90
512;90
1024;90
2048;90
4096;90
8192;90
16384;92
32768;94
65536;120
131072;0
262144;380
524288;0
1048576;9894
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;32
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;146
65536;262
131072;498
262144;148
524288;268
1048576;0
1;90
2;88
4;88
8;88
16;86
32;0
64;88
128;88
256;88
512;88
1024;88
2048;88
4096;0
8192;88
16384;92
32768;94
65536;120
131072;204
262144;382
524288;9944
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;146
65536;0
131072;488
262144;0
524288;276
1048576;0
1;88
2;88
4;88
8;88
16;86
32;0
64;88
128;86
256;88
512;90
1024;90
2048;90
4096;90
8192;92
16384;92
32768;94
65536;118
131072;9404
262144;382
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;90
32768;146
65536;0
131072;500
262144;132
524288;230
1048576;0
1;88
2;88
4;86
8;88
16;88
32;9292
64;86
128;88
256;90
512;90
1024;90
2048;90
4096;0
8192;92
16384;90
32768;94
65536;120
131072;204
262144;380
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;42
4096;48
8192;62
16384;92
32768;146
65536;0
131072;484
262144;0
524288;280
1048576;9704
1;90
2;88
4;86
8;88
16;88
32;0
64;88
128;88
256;90
512;90
1024;90
2048;90
4096;0
8192;88
16384;92
32768;94
65536;120
131072;204
262144;382
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;0
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;148
65536;0
131072;498
262144;0
524288;10232
1048576;0
1;92
2;88
4;88
8;88
16;86
32;86
64;0
128;88
256;88
512;88
1024;90
2048;90
4096;90
8192;90
16384;92
32768;92
65536;118
131072;204
262144;0
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;0
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;148
65536;0
131072;496
262144;9360
524288;262
1048576;0
1;90
2;88
4;86
8;88
16;90
32;88
64;88
128;88
256;90
512;90
1024;88
2048;90
4096;0
8192;92
16384;90
32768;92
65536;120
131072;204
262144;0
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;0
512;34
1024;38
2048;40
4096;48
8192;62
16384;90
32768;146
65536;9464
131072;488
262144;0
524288;270
1048576;0
1;90
2;88
4;88
8;88
16;88
32;0
64;86
128;88
256;90
512;90
1024;90
2048;90
4096;0
8192;90
16384;92
32768;94
65536;118
131072;0
262144;380
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;9240
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;146
65536;0
131072;494
262144;0
524288;260
1048576;0
1;90
2;88
4;88
8;88
16;88
32;0
64;86
128;88
256;90
512;90
1024;90
2048;90
4096;88
8192;88
16384;92
32768;94
65536;120
131072;0
262144;380
524288;0
1048576;9896
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;90
32768;146
65536;264
131072;488
262144;158
524288;262
1048576;0
1;90
2;88
4;88
8;86
16;0
32;86
64;88
128;86
256;90
512;88
1024;90
2048;0
4096;88
8192;92
16384;92
32768;94
65536;120
131072;0
262144;378
524288;9940
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;34
1024;36
2048;40
4096;48
8192;62
16384;90
32768;0
65536;260
131072;0
262144;142
524288;270
1048576;0
1;88
2;88
4;88
8;88
16;0
32;88
64;88
128;88
256;90
512;90
1024;90
2048;9294
4096;92
8192;90
16384;92
32768;94
65536;122
131072;0
262144;380
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;90
32768;0
65536;266
131072;0
262144;138
524288;244
1048576;9706
1;90
2;88
4;88
8;88
16;0
32;88
64;88
128;86
256;88
512;90
1024;88
2048;0
4096;92
8192;90
16384;92
32768;94
65536;120
131072;0
262144;378
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;0
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;90
32768;0
65536;260
131072;0
262144;10142
524288;276
1048576;0
1;90
2;86
4;88
8;88
16;0
32;86
64;86
128;88
256;90
512;90
1024;90
2048;0
4096;88
8192;92
16384;90
32768;92
65536;120
131072;0
262144;382
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;0
64;34
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;9344
65536;260
131072;0
262144;148
524288;248
1048576;0
1;90
2;88
4;88
8;88
16;88
32;0
64;88
128;88
256;90
512;90
1024;90
2048;88
4096;88
8192;92
16384;92
32768;92
65536;120
131072;0
262144;380
524288;0
1048576;9886
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;148
65536;0
131072;496
262144;152
524288;248
1048576;0
1;90
2;88
4;88
8;86
16;88
32;0
64;88
128;90
256;90
512;90
1024;90
2048;88
4096;0
8192;90
16384;90
32768;94
65536;118
131072;204
262144;380
524288;9944
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;62
16384;90
32768;146
65536;0
131072;486
262144;0
524288;272
1048576;0
1;88
2;88
4;86
8;88
16;88
32;86
64;88
128;88
256;88
512;90
1024;90
2048;0
4096;88
8192;92
16384;92
32768;92
65536;120
131072;9404
262144;380
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;0
128;34
256;34
512;36
1024;36
2048;40
4096;48
8192;64
16384;90
32768;0
65536;264
131072;0
262144;146
524288;248
1048576;0
1;88
2;88
4;88
8;88
16;88
32;9292
64;86
128;88
256;88
512;90
1024;90
2048;90
4096;0
8192;90
16384;92
32768;92
65536;118
131072;202
262144;382
524288;0
1048576;0
1;34
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;34
512;36
1024;38
2048;40
4096;48
8192;62
16384;90
32768;148
65536;0
131072;490
262144;0
524288;244
1048576;9674
