size;time
1;36
2;24
4;24
8;24
16;24
32;24
64;24
128;2
256;24
512;24
1024;26
2048;26
4096;26
8192;28
16384;28
32768;36
65536;56
131072;92
262144;2
524288;308
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;2
4096;26
8192;30
16384;36
32768;46
65536;76
131072;124
262144;202
524288;9542
1048576;2
1;26
2;24
4;24
8;24
16;24
32;22
64;24
128;24
256;24
512;26
1024;26
2048;26
4096;2
8192;26
16384;28
32768;38
65536;54
131072;92
262144;164
524288;2
1048576;594
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;26
8192;30
16384;36
32768;46
65536;74
131072;126
262144;196
524288;2
1048576;626
1;24
2;22
4;22
8;24
16;24
32;24
64;26
128;24
256;26
512;24
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;2
131072;90
262144;164
524288;310
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;28
8192;30
16384;34
32768;46
65536;72
131072;122
262144;192
524288;338
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;2
256;24
512;26
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;54
131072;92
262144;2
524288;308
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;2
4096;26
8192;30
16384;36
32768;46
65536;74
131072;128
262144;190
524288;2
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;26
1024;24
2048;26
4096;26
8192;28
16384;28
32768;38
65536;56
131072;90
262144;164
524288;9508
1048576;598
1;26
2;2
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;26
8192;30
16384;34
32768;46
65536;2
131072;128
262144;194
524288;334
1048576;624
1;26
2;24
4;24
8;24
16;24
32;24
64;26
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;56
131072;2
262144;162
524288;308
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;36
32768;46
65536;74
131072;130
262144;2
524288;342
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;26
8192;28
16384;28
32768;38
65536;56
131072;92
262144;164
524288;306
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;2
8192;28
16384;34
32768;46
65536;74
131072;128
262144;192
524288;2
1048576;2
1;24
2;24
4;24
8;24
16;24
32;26
64;24
128;24
256;24
512;26
1024;26
2048;26
4096;24
8192;2
16384;28
32768;38
65536;54
131072;92
262144;164
524288;2
1048576;596
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;28
8192;30
16384;34
32768;46
65536;2
131072;130
262144;198
524288;340
1048576;628
1;26
2;24
4;24
8;22
16;24
32;24
64;24
128;26
256;24
512;26
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;54
131072;2
262144;164
524288;310
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;2
256;24
512;26
1024;26
2048;26
4096;28
8192;30
16384;36
32768;46
65536;72
131072;134
262144;2
524288;340
1048576;2
1;24
2;24
4;24
8;24
16;26
32;24
64;24
128;24
256;24
512;26
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;56
131072;92
262144;164
524288;306
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;9226
8192;30
16384;34
32768;48
65536;72
131072;128
262144;196
524288;2
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;26
1024;24
2048;26
4096;26
8192;2
16384;26
32768;38
65536;56
131072;92
262144;164
524288;2
1048576;596
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;28
8192;30
16384;34
32768;48
65536;2
131072;130
262144;198
524288;338
1048576;624
1;26
2;24
4;24
8;22
16;24
32;24
64;24
128;26
256;26
512;26
1024;26
2048;26
4096;26
8192;28
16384;26
32768;38
65536;56
131072;2
262144;164
524288;308
1048576;9794
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;28
8192;28
16384;34
32768;46
65536;72
131072;128
262144;2
524288;340
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;26
128;24
256;24
512;24
1024;24
2048;26
4096;26
8192;28
16384;28
32768;38
65536;56
131072;92
262144;2
524288;306
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;34
32768;46
65536;74
131072;128
262144;196
524288;2
1048576;2
1;24
2;24
4;24
8;22
16;22
32;24
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;26
8192;26
16384;28
32768;38
65536;56
131072;92
262144;162
524288;2
1048576;596
1;26
2;2
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;28
8192;30
16384;36
32768;46
65536;2
131072;130
262144;202
524288;2
1048576;624
1;24
2;24
4;2
8;24
16;24
32;24
64;24
128;24
256;24
512;26
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;56
131072;92
262144;164
524288;308
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;2
128;24
256;24
512;24
1024;24
2048;26
4096;28
8192;30
16384;36
32768;46
65536;74
131072;126
262144;2
524288;338
1048576;9836
1;26
2;24
4;24
8;24
16;24
32;22
64;24
128;2
256;24
512;26
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;56
131072;92
262144;2
524288;308
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;2
4096;28
8192;30
16384;36
32768;48
65536;74
131072;126
262144;200
524288;2
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;26
1024;26
2048;26
4096;2
8192;28
16384;28
32768;38
65536;54
131072;92
262144;164
524288;2
1048576;598
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;34
32768;46
65536;74
131072;128
262144;194
524288;2
1048576;634
1;26
2;2
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;26
1024;24
2048;26
4096;26
8192;28
16384;28
32768;38
65536;2
131072;90
262144;162
524288;308
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;34
32768;46
65536;74
131072;130
262144;192
524288;336
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;2
256;26
512;26
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;54
131072;90
262144;2
524288;308
1048576;9796
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;2
4096;28
8192;30
16384;34
32768;46
65536;72
131072;122
262144;200
524288;2
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;2
8192;28
16384;26
32768;38
65536;56
131072;90
262144;164
524288;2
1048576;594
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;34
32768;46
65536;72
131072;122
262144;202
524288;2
1048576;624
1;24
2;24
4;22
8;24
16;24
32;26
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;24
8192;28
16384;28
32768;38
65536;9256
131072;90
262144;164
524288;308
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;34
32768;46
65536;72
131072;130
262144;200
524288;342
1048576;2
1;24
2;24
4;24
8;26
16;24
32;26
64;24
128;24
256;24
512;26
1024;26
2048;26
4096;26
8192;26
16384;26
32768;38
65536;54
131072;92
262144;2
524288;308
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;34
32768;46
65536;74
131072;128
262144;196
524288;2
1048576;9828
1;26
2;24
4;24
8;24
16;24
32;24
64;26
128;24
256;24
512;24
1024;26
2048;26
4096;24
8192;28
16384;28
32768;38
65536;56
131072;92
262144;162
524288;2
1048576;594
1;2
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;34
32768;2
65536;72
131072;128
262144;198
524288;2
1048576;622
1;24
2;2
4;22
8;24
16;24
32;24
64;24
128;24
256;24
512;26
1024;24
2048;24
4096;26
8192;28
16384;28
32768;36
65536;2
131072;90
262144;162
524288;308
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;36
32768;48
65536;72
131072;122
262144;196
524288;340
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;22
256;24
512;24
1024;24
2048;26
4096;26
8192;28
16384;28
32768;38
65536;54
131072;92
262144;2
524288;306
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;24
4096;26
8192;30
16384;36
32768;46
65536;74
131072;124
262144;198
524288;2
1048576;2
1;26
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;26
1024;24
2048;26
4096;26
8192;28
16384;28
32768;36
65536;54
131072;90
262144;164
524288;2
1048576;594
1;9228
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;28
8192;30
16384;34
32768;2
65536;76
131072;128
262144;196
524288;2
1048576;634
1;26
2;2
4;24
8;24
16;24
32;24
64;24
128;24
256;26
512;26
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;2
131072;90
262144;164
524288;308
1048576;2
1;24
2;24
4;24
8;24
16;24
32;2
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;28
8192;30
16384;34
32768;46
65536;76
131072;2
262144;194
524288;338
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;2
128;22
256;24
512;24
1024;26
2048;26
4096;26
8192;28
16384;28
32768;38
65536;56
131072;92
262144;9362
524288;306
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;34
32768;46
65536;74
131072;128
262144;198
524288;2
1048576;2
1;26
2;24
4;24
8;24
16;24
32;22
64;24
128;24
256;24
512;26
1024;24
2048;26
4096;24
8192;28
16384;28
32768;38
65536;54
131072;90
262144;162
524288;2
1048576;596
1;2
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;26
2048;26
4096;26
8192;30
16384;36
32768;2
65536;72
131072;126
262144;198
524288;2
1048576;622
1;24
2;9228
4;24
8;24
16;24
32;24
64;24
128;24
256;26
512;26
1024;26
2048;24
4096;26
8192;28
16384;28
32768;36
65536;2
131072;90
262144;162
524288;308
1048576;2
1;24
2;24
4;24
8;24
16;24
32;24
64;24
128;24
256;24
512;24
1024;24
2048;26
4096;28
8192;30
16384;34
32768;46
65536;74
131072;2
262144;198
524288;342
1048576;2
