size;time
65536;0
131072;0
262144;668
524288;0
1048576;9956
1;174
2;170
4;170
8;0
16;170
32;170
64;170
128;0
256;172
512;172
1024;174
2048;0
4096;174
8192;174
16384;176
32768;0
65536;222
131072;0
262144;0
524288;750
1048576;10728
1;0
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;40
2048;50
4096;66
8192;98
16384;162
32768;284
65536;0
131072;156
262144;0
524288;0
1048576;0
1;174
2;170
4;9374
8;170
16;170
32;170
64;0
128;170
256;172
512;174
1024;0
2048;172
4096;176
8192;174
16384;0
32768;178
65536;222
131072;0
262144;0
524288;0
1048576;9924
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;0
1024;40
2048;50
4096;66
8192;98
16384;168
32768;0
65536;540
131072;0
262144;348
524288;0
1048576;356
1;0
2;170
4;170
8;170
16;0
32;170
64;170
128;170
256;172
512;172
1024;174
2048;174
4096;176
8192;174
16384;176
32768;0
65536;222
131072;404
262144;0
524288;0
1048576;0
1;36
2;9232
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;0
8192;94
16384;162
32768;304
65536;0
131072;0
262144;444
524288;162
1048576;0
1;0
2;170
4;170
8;170
16;0
32;170
64;170
128;170
256;9376
512;174
1024;172
2048;172
4096;0
8192;174
16384;174
32768;178
65536;0
131072;404
262144;0
524288;0
1048576;0
1;36
2;34
4;34
8;9238
16;34
32;34
64;34
128;34
256;36
512;36
1024;42
2048;50
4096;68
8192;0
16384;150
32768;296
65536;0
131072;240
262144;0
524288;332
1048576;0
1;174
2;170
4;0
8;170
16;172
32;172
64;0
128;170
256;172
512;174
1024;0
2048;174
4096;176
8192;174
16384;9380
32768;178
65536;222
131072;0
262144;0
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;48
4096;66
8192;100
16384;168
32768;9474
65536;600
131072;262
262144;0
524288;6
1048576;446
1;0
2;170
4;170
8;170
16;0
32;172
64;170
128;172
256;0
512;172
1024;174
2048;172
4096;0
8192;174
16384;176
32768;180
65536;9422
131072;404
262144;0
524288;0
1048576;0
1;36
2;34
4;34
8;32
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;48
4096;66
8192;0
16384;162
32768;290
65536;9718
131072;362
262144;0
524288;0
1048576;126
1;174
2;170
4;0
8;170
16;170
32;172
64;0
128;172
256;172
512;172
1024;0
2048;172
4096;174
8192;172
16384;0
32768;178
65536;222
131072;0
262144;9980
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;48
4096;66
8192;102
16384;168
32768;0
65536;514
131072;0
262144;9866
524288;424
1048576;0
1;0
2;170
4;170
8;170
16;0
32;170
64;172
128;172
256;0
512;174
1024;174
2048;172
4096;0
8192;174
16384;176
32768;180
65536;0
131072;404
262144;0
524288;9948
1048576;0
1;36
2;34
4;34
8;0
16;34
32;34
64;34
128;34
256;36
512;38
1024;40
2048;48
4096;68
8192;96
16384;158
32768;304
65536;0
131072;366
262144;0
524288;9724
1048576;14
1;172
2;0
4;170
8;170
16;170
32;0
64;170
128;170
256;172
512;0
1024;172
2048;172
4096;174
8192;0
16384;176
32768;178
65536;0
131072;404
262144;0
524288;0
1048576;9920
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;68
8192;100
16384;0
32768;300
65536;0
131072;238
262144;0
524288;410
1048576;9534
1;174
2;170
4;170
8;0
16;170
32;172
64;170
128;0
256;172
512;174
1024;172
2048;0
4096;174
8192;176
16384;176
32768;178
65536;222
131072;0
262144;0
524288;0
1048576;9926
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;48
4096;68
8192;104
16384;166
32768;0
65536;580
131072;0
262144;528
524288;206
1048576;262
1;174
2;9374
4;170
8;170
16;170
32;0
64;172
128;172
256;172
512;0
1024;174
2048;174
4096;176
8192;172
16384;176
32768;180
65536;0
131072;406
262144;0
524288;0
1048576;9928
1;36
2;34
4;34
8;34
16;34
32;32
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;66
8192;102
16384;0
32768;304
65536;0
131072;318
262144;0
524288;198
1048576;0
1;174
2;0
4;170
8;170
16;172
32;9374
64;170
128;172
256;172
512;0
1024;174
2048;172
4096;176
8192;0
16384;176
32768;178
65536;220
131072;404
262144;0
524288;0
1048576;9928
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;66
8192;100
16384;0
32768;312
65536;0
131072;328
262144;0
524288;532
1048576;0
1;174
2;170
4;0
8;170
16;170
32;170
64;0
128;172
256;172
512;174
1024;9376
2048;172
4096;176
8192;176
16384;0
32768;180
65536;220
131072;0
262144;0
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;9242
1024;42
2048;50
4096;66
8192;98
16384;162
32768;0
65536;596
131072;0
262144;496
524288;10
1048576;354
1;174
2;170
4;170
8;170
16;170
32;170
64;170
128;170
256;172
512;0
1024;172
2048;174
4096;174
8192;0
16384;176
32768;178
65536;220
131072;0
262144;0
524288;0
1048576;9916
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;32
256;36
512;38
1024;42
2048;50
4096;66
8192;98
16384;170
32768;0
65536;0
131072;238
262144;0
524288;224
1048576;0
1;172
2;170
4;0
8;170
16;170
32;170
64;0
128;172
256;172
512;172
1024;9376
2048;172
4096;174
8192;174
16384;0
32768;180
65536;220
131072;0
262144;0
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;66
8192;102
16384;168
32768;0
65536;578
131072;0
262144;530
524288;0
1048576;476
1;0
2;170
4;170
8;170
16;0
32;170
64;170
128;172
256;0
512;172
1024;174
2048;172
4096;9376
8192;174
16384;176
32768;178
65536;220
131072;402
262144;0
524288;0
1048576;0
1;36
2;34
4;0
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;68
8192;9294
16384;158
32768;304
65536;0
131072;268
262144;0
524288;0
1048576;0
1;174
2;0
4;170
8;170
16;170
32;0
64;172
128;172
256;172
512;0
1024;174
2048;172
4096;174
8192;0
16384;178
32768;178
65536;222
131072;9606
262144;0
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;0
128;34
256;36
512;38
1024;42
2048;50
4096;66
8192;102
16384;0
32768;286
65536;9788
131072;232
262144;0
524288;56
1048576;330
1;174
2;0
4;170
8;170
16;170
32;0
64;170
128;172
256;172
512;0
1024;174
2048;172
4096;176
8192;172
16384;176
32768;178
65536;0
131072;404
262144;9982
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;0
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;68
8192;100
16384;0
32768;290
65536;0
131072;10322
262144;0
524288;0
1048576;0
1;172
2;170
4;170
8;0
16;170
32;172
64;170
128;0
256;172
512;172
1024;174
2048;0
4096;174
8192;176
16384;176
32768;176
65536;222
131072;0
262144;0
524288;9954
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;36
1024;42
2048;48
4096;66
8192;92
16384;154
32768;280
65536;532
131072;0
262144;410
524288;9732
1048576;0
