size;time
1;182
2;170
4;170
8;0
16;170
32;170
64;170
128;0
256;172
512;172
1024;172
2048;9376
4096;176
8192;174
16384;176
32768;0
65536;222
131072;0
262144;0
524288;0
1048576;716
1;0
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;36
1024;42
2048;50
4096;66
8192;98
16384;160
32768;304
65536;0
131072;188
262144;0
524288;0
1048576;332
1;172
2;0
4;170
8;170
16;170
32;0
64;170
128;172
256;172
512;0
1024;174
2048;174
4096;174
8192;0
16384;176
32768;178
65536;9424
131072;402
262144;0
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;0
64;34
128;34
256;36
512;36
1024;42
2048;50
4096;66
8192;102
16384;0
32768;294
65536;9750
131072;186
262144;0
524288;0
1048576;498
1;0
2;170
4;170
8;170
16;0
32;172
64;170
128;172
256;0
512;174
1024;172
2048;172
4096;0
8192;174
16384;176
32768;178
65536;0
131072;406
262144;9980
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;36
1024;42
2048;50
4096;66
8192;102
16384;166
32768;302
65536;0
131072;10360
262144;0
524288;124
1048576;0
1;172
2;170
4;0
8;170
16;170
32;170
64;0
128;172
256;172
512;172
1024;0
2048;172
4096;174
8192;174
16384;0
32768;180
65536;220
131072;0
262144;9982
524288;0
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;0
512;38
1024;42
2048;48
4096;66
8192;100
16384;162
32768;0
65536;540
131072;10190
262144;498
524288;0
1048576;352
1;0
2;170
4;170
8;170
16;0
32;172
64;172
128;170
256;0
512;174
1024;174
2048;172
4096;174
8192;174
16384;176
32768;0
65536;224
131072;404
262144;0
524288;9950
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;68
8192;98
16384;166
32768;280
65536;0
131072;246
262144;9752
524288;0
1048576;126
1;174
2;0
4;170
8;170
16;170
32;0
64;170
128;172
256;172
512;0
1024;174
2048;172
4096;174
8192;0
16384;176
32768;178
65536;224
131072;0
262144;0
524288;9952
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;0
128;34
256;36
512;38
1024;42
2048;50
4096;66
8192;98
16384;0
32768;312
65536;0
131072;354
262144;0
524288;9546
1048576;510
1;174
2;0
4;170
8;170
16;172
32;170
64;170
128;172
256;172
512;172
1024;174
2048;174
4096;0
8192;176
16384;174
32768;178
65536;0
131072;404
262144;0
524288;9950
1048576;0
1;36
2;34
4;34
8;34
16;0
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;66
8192;96
16384;0
32768;292
65536;0
131072;238
262144;0
524288;9724
1048576;266
1;174
2;170
4;0
8;170
16;170
32;170
64;0
128;172
256;172
512;172
1024;0
2048;172
4096;174
8192;174
16384;174
32768;178
65536;220
131072;0
262144;0
524288;9948
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;0
512;36
1024;42
2048;48
4096;66
8192;102
16384;168
32768;0
65536;0
131072;358
262144;0
524288;10554
1048576;128
1;174
2;170
4;170
8;0
16;170
32;170
64;170
128;0
256;172
512;172
1024;174
2048;172
4096;174
8192;176
16384;0
32768;178
65536;224
131072;0
262144;0
524288;9950
1048576;0
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;0
2048;48
4096;66
8192;102
16384;158
32768;0
65536;574
131072;0
262144;518
524288;90
1048576;9594
1;174
2;170
4;0
8;170
16;170
32;170
64;0
128;172
256;172
512;172
1024;172
2048;172
4096;174
8192;0
16384;176
32768;178
65536;220
131072;0
262144;0
524288;0
1048576;9930
1;36
2;34
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;68
8192;102
16384;162
32768;0
65536;500
131072;138
262144;616
524288;726
1048576;9946
1;0
2;170
4;170
8;170
16;0
32;172
64;170
128;172
256;0
512;174
1024;174
2048;174
4096;172
8192;174
16384;176
32768;0
65536;220
131072;404
262144;0
524288;0
1048576;9932
1;36
2;0
4;34
8;34
16;34
32;34
64;34
128;34
256;36
512;38
1024;42
2048;50
4096;66
8192;96
16384;172
32768;306
