size;time
1;58
2;46
4;46
8;44
16;46
32;46
64;44
128;46
256;46
512;44
1024;44
2048;46
4096;46
8192;48
16384;48
32768;50
65536;70
131072;110
262144;194
524288;2
1048576;9916
1;36
2;32
4;32
8;32
16;32
32;32
64;32
128;32
256;32
512;32
1024;2
2048;34
4096;38
8192;42
16384;56
32768;78
65536;124
131072;214
262144;392
524288;2
1048576;2
1;46
2;46
4;46
8;46
16;46
32;2
64;44
128;44
256;46
512;46
1024;46
2048;46
4096;46
8192;46
16384;48
32768;50
65536;2
131072;110
262144;194
524288;2
1048576;688
1;2
2;32
4;32
8;32
16;32
32;32
64;32
128;32
256;32
512;32
1024;32
2048;34
4096;36
8192;2
16384;54
32768;76
65536;122
131072;216
262144;9592
524288;2
1048576;2
1;48
2;46
4;46
8;46
16;46
32;46
64;44
128;46
256;46
512;2
1024;44
2048;46
4096;48
8192;46
16384;48
32768;50
65536;70
131072;110
262144;2
524288;356
1048576;2
1;32
2;32
4;32
8;32
16;32
32;32
64;32
128;32
256;32
512;32
1024;32
2048;34
4096;38
8192;42
16384;54
32768;76
65536;2
131072;216
262144;388
524288;2
1048576;2
1;46
2;9250
4;44
8;46
16;46
32;46
64;46
128;46
256;46
512;46
1024;48
2048;46
4096;2
8192;44
16384;48
32768;50
65536;70
131072;110
262144;192
524288;2
1048576;2
1;34
2;32
4;32
8;32
16;32
32;32
64;32
128;32
256;2
512;32
1024;32
2048;34
4096;38
8192;44
16384;54
32768;76
65536;122
131072;2
262144;392
524288;2
1048576;2
1;46
2;46
4;46
8;46
16;2
32;44
64;46
128;46
256;46
512;46
1024;44
2048;46
4096;46
8192;48
16384;48
32768;2
65536;70
131072;110
262144;194
524288;9572
1048576;2
1;34
2;32
4;32
8;32
16;32
32;32
64;32
128;32
256;32
512;32
1024;34
2048;34
4096;2
8192;42
16384;54
32768;78
65536;122
131072;212
262144;2
524288;2
1048576;2
1;48
2;46
4;46
8;46
16;46
32;46
64;46
128;46
256;2
512;46
1024;46
2048;46
4096;48
8192;48
16384;48
32768;50
65536;68
131072;110
262144;194
524288;360
1048576;2
1;34
2;32
4;32
8;32
16;32
32;32
64;32
128;32
256;32
512;32
1024;34
2048;34
4096;38
8192;44
16384;54
32768;9280
65536;122
131072;216
262144;2
524288;2
1048576;708
1;2
2;46
4;46
8;46
16;46
32;44
64;44
128;46
256;46
512;46
1024;46
2048;2
4096;48
8192;46
16384;48
32768;50
65536;68
131072;110
262144;192
524288;374
1048576;2
1;32
2;32
4;32
8;32
16;32
32;32
64;32
128;2
256;32
512;32
1024;34
2048;34
4096;38
8192;44
16384;56
32768;76
65536;122
131072;2
262144;394
524288;9972
1048576;2
1;46
2;46
4;46
8;2
16;46
32;46
64;46
128;46
256;46
512;46
1024;46
2048;46
4096;46
8192;48
16384;46
32768;50
65536;70
131072;112
262144;192
524288;2
1048576;2
1;34
