size;time
1048576;590
1;14
2;12
4;12
8;12
16;12
32;12
64;12
128;12
256;12
512;12
1024;12
2048;14
4096;14
8192;16
16384;22
32768;30
65536;48
131072;84
262144;156
524288;300
1048576;2
1;18
2;16
4;16
8;16
16;16
32;16
64;16
128;16
256;16
512;16
1024;16
2048;18
4096;18
8192;20
16384;24
32768;34
65536;52
131072;88
262144;160
524288;2
1048576;590
1;16
2;12
4;2
8;12
16;12
32;12
64;12
128;12
256;12
512;12
1024;12
2048;14
4096;14
8192;16
16384;22
32768;30
65536;48
131072;84
262144;2
524288;300
1048576;2
1;18
2;16
4;16
8;16
16;16
32;16
64;16
128;16
256;16
512;16
1024;16
2048;18
4096;18
8192;20
16384;9224
32768;34
65536;52
131072;88
262144;160
524288;304
1048576;590
1;16
2;12
4;12
8;12
16;12
32;12
64;12
128;12
256;12
512;12
1024;12
2048;14
4096;14
8192;16
16384;22
32768;30
65536;48
131072;84
262144;156
524288;298
1048576;2
1;18
2;16
4;16
8;16
16;16
32;16
64;16
128;16
256;16
512;16
1024;16
2048;18
4096;18
8192;20
16384;26
32768;34
65536;52
131072;88
262144;160
524288;302
1048576;2
1;14
2;12
4;12
8;12
16;12
32;12
64;12
128;2
256;12
512;12
1024;12
2048;14
4096;14
8192;16
16384;22
32768;30
65536;48
131072;84
262144;156
524288;2
1048576;2
1;18
2;16
4;16
8;16
16;16
32;16
64;16
128;16
256;16
512;16
1024;16
2048;18
4096;18
8192;20
16384;26
32768;34
65536;52
131072;9288
262144;160
524288;302
1048576;2
1;16
2;12
4;12
8;12
16;12
32;12
64;12
128;12
256;14
512;12
1024;12
2048;14
4096;14
8192;16
16384;22
32768;30
65536;48
131072;84
262144;156
524288;2
1048576;588
1;18
2;2
4;16
8;16
16;16
32;16
64;16
128;16
256;16
512;16
1024;16
2048;18
4096;18
8192;20
16384;26
32768;34
65536;52
131072;88
262144;160
524288;304
1048576;2
1;14
2;12
4;12
8;12
16;12
32;12
64;12
128;12
256;12
512;12
1024;12
2048;14
4096;2
8192;16
16384;22
32768;30
65536;48
131072;84
262144;156
524288;2
1048576;586
1;18
2;16
4;16
8;16
16;16
32;16
64;16
128;16
256;16
512;16
1024;16
2048;18
4096;18
8192;20
16384;26
32768;34
65536;52
131072;88
262144;9360
524288;304
1048576;2
